num_age,num_annual_income,num_contract_tenure_years,num_years_with_license,num_vehicle_age,num_annual_mileage,num_previous_claims_count,num_late_payments_count,num_credit_score,num_household_size,num_insured_value,num_monthly_premium,cat_region,cat_vehicle_type,cat_fuel_type,cat_coverage_level,cat_payment_frequency,cat_home_ownership,cat_profession_segment,cat_prior_fraud_flag,text_feature,target,num_irrelevant_0,num_irrelevant_1,num_irrelevant_2,num_irrelevant_3,num_irrelevant_4,num_duplicate_0,num_duplicate_1,num_constant_0,num_collinear_0,num_collinear_1,num_collinear_2
50.0,49551.54259519736,6.0,24.0,18.0,29638.181404408526,1.0,0.0,651.2416979889708,5.0,14929.895333889159,68.37401871864823,urbain,,hybride,tous_risques,annuel,locataire,independant,non,"Mots-clés dossier : déclaration, paiement, contrat. La fiche client a été révisée lors du dernier contrôle qualité. Les éléments déclaratifs ont été consolidés dans le dossier. Le type de contrat principal ressort comme auto. Le kilométrage annuel déclaré est élevé. Les informations contractuelles sont cohérentes avec la demande en cours.",0,-0.49035580318252225,-1.3005409815935893,-0.45686071792312377,0.6313583757715249,4.973856048031678,50.00133956650517,49551.543003631334,1.0,41.220784625343164,43889.664398916146,4.5992210386826855
174.04425713198626,36698.84643355613,9.0,27.0,9.0,10242.576511358035,2.0,0.0,692.7396484216149,3.0,12924.425312188325,56.54404149595088,periurbain,citadine,hybride,tous_risques,mensuel,proprietaire,cadre,non,"Les informations disponibles sont compatibles avec une analyse automatisée. Les informations contractuelles sont cohérentes avec la demande en cours. Mots-clés dossier : avenant, surprime, garantie. Le type de contrat principal ressort comme auto. Les informations contractuelles sont cohérentes avec la demande en cours. Le gestionnaire a intégré les mises à jour du profil assuré.",0,-0.6137144055277906,0.8938057537370112,-0.7066954574236,-0.5402874083478807,0.8647020063646956,52.000614666348504,110159.5628383591,1.0,47.19920600190518,36421.72319840564,
69.0,38630.767058369514,25.0,43.0,8.0,19963.415969306247,1.0,1.0,872.0957753001805,2.0,,51.4233953337818,rural,suv,essence,tous_risques,mensuel,proprietaire,cadre,non,"Le véhicule couvert est de type suv. Aucun élément majeur de vigilance n'est identifié à ce stade. Le client réside principalement en zone rural. Aucun élément majeur de vigilance n'est identifié à ce stade. Mots-clés dossier : usage, sévérité, gestionnaire. Le kilométrage annuel déclaré est élevé.",0,-0.42160950528894814,-0.30926307885668797,-0.33680645042774066,-2.168727130651609,0.35942507480962915,68.99910684460953,38630.76560127405,1.0,63.279235068557405,35220.29727612764,23.088004539736733
82.0,61930.41737125189,5.0,59.0,15.0,11582.664512001284,2.0,0.0,605.2570846476189,4.0,18850.320969037457,10.0,urbain,sport,electrique,tous_risques,annuel,proprietaire,cadre,non,"Le niveau de paiement observé est régulier. Le profil ressort comme plus exposé que la moyenne du portefeuille. Le contexte socioprofessionnel est associé à la catégorie cadre. Mots-clés dossier : token_63, sévérité, token_23. Le type de contrat principal ressort comme auto. La combinaison usage intensif et historique incidenté augmente l'exposition.",1,-1.4191463843428458,0.42742186447104036,0.46087628033078937,0.19530150862855758,-0.37551205273063293,82.00069166175808,61930.41809133129,1.0,73.28430173864115,55492.37804548126,5.5119886518520245
20.0,18670.48595388793,15.0,0.0,14.0,14988.717870065213,2.0,1.0,648.4744984763867,3.0,26884.68490700954,45.165973688590896,periurbain,citadine,electrique,tiers,annuel,locataire,employe,non,"La combinaison usage intensif et historique incidenté augmente l'exposition. Le contexte socioprofessionnel est associé à la catégorie employe. Le kilométrage annuel déclaré est modéré. Mots-clés dossier : vigilance, token_46, usage. Les éléments déclaratifs ont été consolidés dans le dossier. Le dossier présente plusieurs facteurs aggravants nécessitant une vigilance renforcée.",1,0.5865913975360909,2.2426849520813654,-0.06882599983608267,,2.2567686934410434,20.000164662054722,18670.486050730407,1.0,17.022702358233474,16412.12331651077,13.25546850381169
27.0,21389.493499436452,21.0,5.0,8.0,2805.922041831056,0.0,2.0,667.6877139955188,1.0,2000.0,65.21248210925556,urbain,berline,hybride,tiers_plus,mensuel,proprietaire,employe,non,"Le client réside principalement en zone urbain. Le type de contrat principal ressort comme auto. Les éléments déclaratifs ont été consolidés dans le dossier. Mots-clés dossier : token_69, token_9, contrat. Les informations contractuelles sont cohérentes avec la demande en cours. Le niveau de paiement observé est irrégulier.",1,1.172761127949998,-2.3502862776494844,1.8973298083693255,0.31021035590653745,-0.4080302967149815,26.997840616435067,21389.49208892175,1.0,,17569.12320408798,19.0586038799266
73.0,18499.099297352754,,52.0,7.0,32689.644163734003,0.0,1.0,508.26059340308973,4.0,26292.130329301584,106.65807385249707,periurbain,citadine,hybride,tous_risques,mensuel,locataire,,oui,"Le dossier a fait l'objet d'une revue selon le processus standard. Le niveau de paiement observé est globalement correct. Mots-clés dossier : usage, sinistre, token_72. Les informations contractuelles sont cohérentes avec la demande en cours. Le client réside principalement en zone periurbain.",0,-1.942252477531803,-1.6262364876474018,2.6284919253386674,-0.01894904633277509,-0.26350356556306676,73.0010674802135,18499.100365799663,1.0,65.7292215601421,,56.930696380390856
82.0,29204.31725991126,5.0,62.0,10.0,17166.218029233765,1.0,0.0,784.6718568233348,5.0,19032.240521840762,53.68996358671143,rural,citadine,diesel,tous_risques,mensuel,proprietaire,independant,non,"La fiche client a été révisée lors du dernier contrôle qualité. L'ancienneté du contrat peut être qualifiée de intermédiaire. L'ancienneté contractuelle contribue à un profil plutôt maîtrisé. Le client réside principalement en zone rural. Le kilométrage annuel déclaré est modéré. Mots-clés dossier : token_23, token_73, retard. Le client présente un comportement de paiement régulier.",0,,1.5189662709880147,-0.44278713133044734,,0.7055134709093367,81.99948309130171,,1.0,73.64693074025561,26402.547209966382,4.480405785278863
34.0,19821.601263866065,10.0,60.3475567806225,18.0,64959.87152814589,2.0,0.0,671.7358584901207,2.0,18568.264072231894,75.97987111180761,urbain,citadine,diesel,tous_risques,mensuel,locataire,employe,non,"Le dossier a fait l'objet d'une revue selon le processus standard. Mots-clés dossier : token_66, token_64, vigilance. Le type de contrat principal ressort comme auto. Le dossier a fait l'objet d'une revue selon le processus standard. Les informations contractuelles sont cohérentes avec la demande en cours. Le niveau de paiement observé est régulier. Le dossier de souscription est associé à un canal web. Le véhicule assuré présente une ancienneté élevée.",1,-0.613218829602953,-0.2206659635989608,0.28930727669449896,2.36246495958292,-0.8464254350550763,,19821.602020309565,,31.099552429724866,16856.73833189114,9.396517111348185
39.0,36592.775635023034,16.0,21.0,8.0,15934.502710354689,0.0,,527.050318387999,3.0,34029.91753842517,70.85361813720067,periurbain,suv,essence,tiers_plus,,locataire,sans_emploi,non,"Mots-clés dossier : token_56, profil, token_79. Le niveau de garantie demandé correspond à une formule tiers_plus. Le profil semble stable au regard de l'historique disponible. Aucun élément majeur de vigilance n'est identifié à ce stade. Les informations contractuelles sont cohérentes avec la demande en cours.",1,-0.9525456777239779,-0.2176160557656585,-0.14530302958755326,1.0696836330041408,-0.161945603636571,39.000891084638326,36592.77647368938,1.0,39.67842699300017,30014.290696791097,15.050979432702558
77.0,25588.211104014626,21.0,55.0,17.0,5343.275949556568,0.0,3.0,609.3049584461584,2.0,28308.175338305588,82.60009630105642,urbain,utilitaire,hybride,tous_risques,mensuel,proprietaire,sans_emploi,non,"Le contexte socioprofessionnel est associé à la catégorie sans_emploi. Le client réside principalement en zone urbain. Le comportement de paiement apparaît irrégulier sur la période récente. Les informations contractuelles sont cohérentes avec la demande en cours. Le dossier de souscription est associé à un canal web. Le contexte socioprofessionnel est associé à la catégorie sans_emploi. Une fréquence de sinistres supérieure à la moyenne est observée. Mots-clés dossier : surprime, paiement, kilométrage.",0,0.5717237406285062,-0.15109234308513758,2.0005661798776497,0.07609540141126302,-1.512524785535328,76.99930769275812,76548.31147184459,1.0,66.48844144858192,24019.37020713053,18.280164125824438
46.0,12813.614085514022,15.0,25.0,,21700.598930238153,1.0,0.0,587.3065750474369,4.0,23909.480903164214,56.50159357580962,urbain,suv,essence,tiers_plus,mensuel,locataire,employe,non,"Les informations contractuelles sont cohérentes avec la demande en cours. Le dossier a fait l'objet d'une revue selon le processus standard. Le kilométrage annuel déclaré est élevé. Mots-clés dossier : token_5, token_40, dossier. Le type de contrat principal ressort comme auto.",1,-0.8051534841508393,-1.314237589259745,0.6440582554198727,0.8828669516640739,-0.03393581880894065,45.99995877787788,12813.612101616327,1.0,41.05097295607811,12592.535486957842,11.916577766747917
36.0,11197.156221204226,13.0,11.0,5.0,18248.02186726866,0.0,0.0,727.0174800516834,2.0,24277.03727961859,113.74948255387726,rural,utilitaire,hybride,tous_risques,mensuel,locataire,independant,non,"Mots-clés dossier : token_79, token_57, token_43. Aucun élément majeur de vigilance n'est identifié à ce stade. L'ancienneté contractuelle contribue à un profil plutôt maîtrisé. L'historique de sinistres est décrit comme sans antécédent récent. Les informations contractuelles sont cohérentes avec la demande en cours. Le kilométrage annuel déclaré est élevé. La fiche client a été révisée lors du dernier contrôle qualité. Le kilométrage annuel déclaré est élevé.",1,1.892902640582742,-2.264134010654717,-0.6938090309751938,-1.3005890106692675,-0.3924838061731411,35.999811865689864,11197.155080395158,1.0,33.46574630455901,,11.929209073885746
